date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
12/17/2015,00:00,454.777008,457.859985,448.858002,456.078003,47978400,0,456.078003,412.64576958789195,403.3315671235682,395.20258619970525,387.92098980237154,381.2935035765697,375.2086835979692,369.5960921706511,364.4049952266652,296.34609291845527,80.32832855769877,1,1
12/18/2015,00:00,455.846985,465.177002,454.940002,463.615997,60220100,0,463.615997,417.5000769604737,407.96883096021685,399.61635463843396,392.1262679800176,385.3092349630785,379.0524798328401,373.2831472619981,367.9482452899986,298.0104700734956,80.98387334669785,1,1
12/19/2015,00:00,463.552002,465.580994,456.765015,462.321991,47892700,0,462.321991,421.76883067852384,412.1498432709694,403.66187956498663,396.0260303700166,389.0659547697576,382.67289336184706,376.7748666242727,371.318736208213,299.645410580227,76.66149979567736,1,1
12/20/2015,00:00,462.234009,462.644989,434.338013,442.684998,75409400,0,442.684998,423.7608466139025,414.49870132704876,406.17950010918105,398.618195238349,391.68151785415967,385.2821153026363,379.3595776586149,373.86753127220544,301.06869005704067,67.15837708758102,1,1
12/21/2015,00:00,442.838013,444.729004,427.312012,438.639008,77639696,0,438.639008,425.17781436495943,416.3556479941989,408.27366190858874,400.84157372510737,393.9721271295665,387.6019802025217,381.68426120141436,376.1807982981981,302.4375489420453,63.961393128882214,1,1
12/22/2015,00:00,437.436005,443.687988,435.515991,436.571991,50840400,0,436.571991,426.2629740444871,417.9107513023374,410.09936055964755,402.8265969070459,396.0501692695876,389.7311111067599,383.83672119351576,378.33762660897673,303.77222000729853,57.70096530994388,1,2
12/23/2015,00:00,436.720001,444.528992,436.618988,442.401001,47161400,0,442.401001,427.7999289926312,419.7946166636961,412.18333736225094,405.02517491221,398.3111854515589,392.0211063195095,386.13335961729945,380.625604265799,305.15161086294734,58.85591645398821,1,2
12/24/2015,00:00,443.091003,458.455994,443.076996,454.984985,57157200,0,454.984985,430.38898194571397,422.5015680741811,414.94473398404125,407.8007199170872,401.0757610392877,394.7586662621395,388.8334233577975,383.2812964348776,306.6424902075946,63.104534864518,1,1
12/25/2015,00:00,454.855011,458.304993,452.075012,455.653015,39078500,0,455.653015,432.7950803318364,425.05167937616716,417.5710746947483,410.4591807550268,403.7380661105419,397.4062466420465,391.45379950062903,385.86600066934625,308.12518199657376,51.6160293741284,1,2
12/26/2015,00:00,455.756012,457.489014,405.76001,417.273987,116166000,0,417.273987,431.3168809668996,424.45339534723126,417.5519077467,410.83778110196977,404.3983549344179,398.27006144021834,392.4663558731534,386.98771446686965,309.2112397578019,43.502390822446934,1,2
12/27/2015,00:00,416.514008,424.006989,408.882996,422.822998,53591200,0,422.822998,430.50793973195675,424.32798016667505,417.8919780856226,411.50362648519365,405.29711801078776,399.3375804210784,393.6568124271474,388.26754602162436,310.34170501394317,46.11480775535905,1,2
12/28/2015,00:00,423.342987,429.769012,418.480988,422.278992,49638600,0,422.278992,429.72423042415136,424.17036569231544,418.1750112413889,412.1022579026829,406.1255021078225,400.33503309842285,394.77925084176906,389.4822405208521,311.4555088645507,41.627615122353816,1,2
12/29/2015,00:00,422.097992,432.983002,420.627014,432.983002,51596500,0,432.983002,430.0345896218512,424.84826079290656,419.13036548388,413.2622992414227,407.43562405378236,401.7545100071871,396.27743716169965,391.0358391451074,312.66473765196815,36.56725893659518,1,2
12/30/2015,00:00,433.299988,434.386993,422.084015,426.619995,46889400,0,426.619995,429.7093901340558,424.98454803960607,419.61356738814584,414.00439345023256,408.3714470267686,402.8356180503529,397.4673413906526,392.3067018542107,313.79862080966006,37.83199641270309,1,2
12/31/2015,00:00,425.875,432.92099,418.734985,430.566986,45996600,0,430.566986,429.7910659308124,425.4139663442518,420.3202395566526,414.92453748077514,409.45415624497497,404.04132970033754,398.7653666694506,393.67314057370317,314.960495090161,39.29449659102266,1,2
01/01/2016,00:00,430.721008,436.246002,427.515015,434.334015,36278900,0,434.334015,430.22372774692553,426.1001239331555,421.22435410138473,416.0028417873987,410.66780789156155,405.35840297423596,400.16021562358975,395.12531466035665,316.14829130816935,37.310425915099046,1,2
01/02/2016,00:00,434.622009,436.062012,431.869995,433.437988,30096600,0,433.437988,430.52984777102785,426.6645750152205,422.0123304819406,416.9714610214321,411.7785483846561,406.5792544970953,401.46522630501767,396.4936244224868,317.31535296679453,37.43956792953091,1,2
01/03/2016,00:00,433.578003,433.743011,424.705994,430.010986,39633800,0,430.010986,430.48043236426327,426.92199124481897,422.5283727734283,417.695879075797,412.6679355854046,407.59802543200425,402.58466786168367,397.6906730502551,318.4367025492145,43.584087385436774,1,2
01/04/2016,00:00,430.061005,434.516998,429.084015,433.091003,38477500,0,433.091003,430.72905813909534,427.39653061060216,423.20983278804584,418.5511637382527,413.66418277636046,408.70641576104754,403.780994729853,398.95497054846027,319.5775413596701,47.163717530282376,1,2
01/05/2016,00:00,433.069,434.182007,429.675995,431.959991,34522600,0,431.959991,430.84628984013386,427.74756602517124,423.774359124301,419.2960985861275,414.55666122629407,409.7174407714368,404.88605340711365,400.1337212788724,320.69577468942464,47.61944491897254,1,2
01/06/2016,00:00,431.855988,431.855988,426.341003,429.105011,34042500,0,429.105011,430.6804537601211,427.8519848693889,424.11827214853963,419.841038164676,415.2663368250114,410.56037860746136,405.8358164499719,401.1684101974841,321.77447355818657,42.9196908083736,1,2
01/07/2016,00:00,430.010986,458.765991,429.076996,458.048004,87562200,0,458.048004,433.2868871163001,430.1747555717436,426.30728710669837,421.9636473777495,417.3532474189133,412.6250579723544,407.88335321663965,403.1998242618597,323.1304290849708,51.389084663101166,1,2
01/08/2016,00:00,457.537994,462.93399,447.937988,453.230011,56993000,0,453.230011,435.186232248081,431.94823675853263,428.0442370352985,423.70066757898564,419.103333447259,414.3904907126868,409.6616535218694,404.9866166453647,324.4249522881054,48.941023506826824,1,2
01/09/2016,00:00,453.382996,454.640015,446.889008,447.610992,32278000,0,447.610992,436.36954270064473,433.1530640847993,429.3066083233438,425.0290189357087,420.4939509376366,415.83486033387436,411.14986287395294,406.5089157651731,325.6506840265322,68.57903859281578,1,1
01/10/2016,00:00,448.238007,448.30899,440.351013,447.990997,35995900,0,447.990997,437.4763478720119,434.2944435398148,430.51205275409586,426.3046843837248,421.83527025775186,417.2329532324016,412.5946132318372,407.99041866641693,326.8680005735319,66.45524560729989,1,1
01/11/2016,00:00,448.697998,450.661987,443.855011,448.428009,40450000,0,448.428009,438.51936321753453,435.38164088290597,431.6679208989929,427.5337579735179,423.1324770256664,418.5892600049059,413.9998444384318,409.43461832118777,328.07755289618336,67.1206043094711,1,1
